tcId,nTransfers,duration,cost,walkDistance,startTime,endTime,agencies,modes,routes,stops,details
28,0,15m30s,1803,92,17:17:33,17:33:03,RUT,BUS,20,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 20 17:18 17:32 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,12m30s,1623,92,17:21:33,17:34:03,RUT,BUS,28,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 28 17:22 17:33 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,15m30s,1803,92,17:22:33,17:38:03,RUT,BUS,20,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 20 17:23 17:37 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,12m30s,1623,92,17:28:33,17:41:03,RUT,BUS,28,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 28 17:29 17:40 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,15m30s,1803,92,17:32:33,17:48:03,RUT,BUS,20,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 20 17:33 17:47 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,12m30s,1623,92,17:36:33,17:49:03,RUT,BUS,28,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 28 17:37 17:48 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,15m30s,1803,92,17:37:33,17:53:03,RUT,BUS,20,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 20 17:38 17:52 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,12m30s,1623,92,17:43:33,17:56:03,RUT,BUS,28,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 28 17:44 17:55 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,15m30s,1803,92,17:47:33,18:03:03,RUT,BUS,20,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 20 17:48 18:02 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,12m30s,1623,92,17:51:33,18:04:03,RUT,BUS,28,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 28 17:52 18:03 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
29,1,1h9m4s,5929,156,19:46:56,20:56:00,Vy,RAIL,L2|R12,RB:NSR:Quay:473|RB:NSR:Quay:556|RB:NSR:Quay:559|RB:NSR:Quay:142,Hauketo stasjon(NSR:Quay:12409) ~ Walk 4s ~ Hauketo stasjon(NSR:Quay:473) ~ RAIL L2 19:47 19:59 ~ Oslo S(NSR:Quay:556) ~ Walk 2m39s ~ Oslo S(NSR:Quay:559) ~ RAIL R12 20:09 20:56
30,0,51m47s,7601,1385,09:08:35,10:00:22,Vy,RAIL,RE10,RB:NSR:Quay:755|RB:NSR:Quay:698,Walk 7m25s ~ Lillestrøm stasjon(NSR:Quay:755) ~ RAIL RE10 9:16 9:49 ~ Asker stasjon(NSR:Quay:698) ~ Walk 11m22s
30,0,51m47s,7601,1385,09:18:35,10:10:22,Vy,RAIL,RE11,RB:NSR:Quay:755|RB:NSR:Quay:698,Walk 7m25s ~ Lillestrøm stasjon(NSR:Quay:755) ~ RAIL RE11 9:26 9:59 ~ Asker stasjon(NSR:Quay:698) ~ Walk 11m22s
30,0,52m18s,7724,1426,09:28:04,10:20:22,Vy,RAIL,R13,RB:NSR:Quay:747|RB:NSR:Quay:698,Walk 7m56s ~ Lillestrøm stasjon(NSR:Quay:747) ~ RAIL R13 9:36 10:09 ~ Asker stasjon(NSR:Quay:698) ~ Walk 11m22s
30,0,52m45s,7920,1436,09:38:04,10:30:49,Vy,RAIL,R14,RB:NSR:Quay:747|RB:NSR:Quay:700,Walk 7m56s ~ Lillestrøm stasjon(NSR:Quay:747) ~ RAIL R14 9:46 10:19 ~ Asker stasjon(NSR:Quay:700) ~ Walk 11m49s
30,0,51m47s,7601,1385,09:48:35,10:40:22,Vy,RAIL,R12,RB:NSR:Quay:756|RB:NSR:Quay:698,Walk 7m25s ~ Lillestrøm stasjon(NSR:Quay:756) ~ RAIL R12 9:56 10:29 ~ Asker stasjon(NSR:Quay:698) ~ Walk 11m22s
30,0,52m18s,7724,1426,09:58:04,10:50:22,Vy,RAIL,R13,RB:NSR:Quay:747|RB:NSR:Quay:698,Walk 7m56s ~ Lillestrøm stasjon(NSR:Quay:747) ~ RAIL R13 10:06 10:39 ~ Asker stasjon(NSR:Quay:698) ~ Walk 11m22s
30,0,51m47s,7601,1385,10:08:35,11:00:22,Vy,RAIL,RE10,RB:NSR:Quay:756|RB:NSR:Quay:698,Walk 7m25s ~ Lillestrøm stasjon(NSR:Quay:756) ~ RAIL RE10 10:16 10:49 ~ Asker stasjon(NSR:Quay:698) ~ Walk 11m22s
30,0,51m47s,7601,1385,10:18:35,11:10:22,Vy,RAIL,RE11,RB:NSR:Quay:756|RB:NSR:Quay:698,Walk 7m25s ~ Lillestrøm stasjon(NSR:Quay:756) ~ RAIL RE11 10:26 10:59 ~ Asker stasjon(NSR:Quay:698) ~ Walk 11m22s
30,0,52m18s,7724,1426,10:28:04,11:20:22,Vy,RAIL,R13,RB:NSR:Quay:747|RB:NSR:Quay:698,Walk 7m56s ~ Lillestrøm stasjon(NSR:Quay:747) ~ RAIL R13 10:36 11:09 ~ Asker stasjon(NSR:Quay:698) ~ Walk 11m22s
30,0,52m45s,7920,1436,10:38:04,11:30:49,Vy,RAIL,R14,RB:NSR:Quay:747|RB:NSR:Quay:700,Walk 7m56s ~ Lillestrøm stasjon(NSR:Quay:747) ~ RAIL R14 10:46 11:19 ~ Asker stasjon(NSR:Quay:700) ~ Walk 11m49s
